filename,link,study,type
SC4101EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4101EC-Hypnogram.edf,sc,hypnogram
SC4102E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4102E0-PSG.edf,sc,psg
SC4102EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4102EC-Hypnogram.edf,sc,hypnogram
SC4111E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4111E0-PSG.edf,sc,psg
SC4111EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4111EC-Hypnogram.edf,sc,hypnogram
SC4112E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4112E0-PSG.edf,sc,psg
SC4112EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4112EC-Hypnogram.edf,sc,hypnogram
SC4121E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4121E0-PSG.edf,sc,psg
SC4121EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4121EC-Hypnogram.edf,sc,hypnogram
SC4122E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4122E0-PSG.edf,sc,psg
SC4122EV-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4122EV-Hypnogram.edf,sc,hypnogram
SC4131E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4131E0-PSG.edf,sc,psg
SC4131EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4131EC-Hypnogram.edf,sc,hypnogram
SC4141E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4141E0-PSG.edf,sc,psg
SC4141EU-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4141EU-Hypnogram.edf,sc,hypnogram
SC4142E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4142E0-PSG.edf,sc,psg
SC4142EU-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4142EU-Hypnogram.edf,sc,hypnogram
SC4151E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4151E0-PSG.edf,sc,psg
SC4151EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4151EC-Hypnogram.edf,sc,hypnogram
SC4152E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4152E0-PSG.edf,sc,psg
SC4152EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4152EC-Hypnogram.edf,sc,hypnogram
SC4161E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4161E0-PSG.edf,sc,psg
SC4161EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4161EC-Hypnogram.edf,sc,hypnogram
SC4162E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4162E0-PSG.edf,sc,psg
SC4162EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4162EC-Hypnogram.edf,sc,hypnogram
SC4171E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4171E0-PSG.edf,sc,psg
SC4171EU-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4171EU-Hypnogram.edf,sc,hypnogram
SC4172E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4172E0-PSG.edf,sc,psg
SC4172EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4172EC-Hypnogram.edf,sc,hypnogram
SC4181E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4181E0-PSG.edf,sc,psg
SC4181EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4181EC-Hypnogram.edf,sc,hypnogram
SC4182E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4182E0-PSG.edf,sc,psg
SC4182EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4182EC-Hypnogram.edf,sc,hypnogram
SC4191E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4191E0-PSG.edf,sc,psg
SC4191EP-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4191EP-Hypnogram.edf,sc,hypnogram
SC4192E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4192E0-PSG.edf,sc,psg
SC4192EV-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4192EV-Hypnogram.edf,sc,hypnogram
SC4201E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4201E0-PSG.edf,sc,psg
SC4201EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4201EC-Hypnogram.edf,sc,hypnogram
SC4202E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4202E0-PSG.edf,sc,psg
SC4202EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4202EC-Hypnogram.edf,sc,hypnogram
SC4211E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4211E0-PSG.edf,sc,psg
SC4211EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4211EC-Hypnogram.edf,sc,hypnogram
SC4212E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4212E0-PSG.edf,sc,psg
SC4212EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4212EC-Hypnogram.edf,sc,hypnogram
SC4221E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4221E0-PSG.edf,sc,psg
SC4221EJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4221EJ-Hypnogram.edf,sc,hypnogram
SC4222E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4222E0-PSG.edf,sc,psg
SC4222EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4222EC-Hypnogram.edf,sc,hypnogram
SC4231E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4231E0-PSG.edf,sc,psg
SC4231EJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4231EJ-Hypnogram.edf,sc,hypnogram
SC4232E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4232E0-PSG.edf,sc,psg
SC4232EV-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4232EV-Hypnogram.edf,sc,hypnogram
SC4241E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4241E0-PSG.edf,sc,psg
SC4241EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4241EC-Hypnogram.edf,sc,hypnogram
SC4242E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4242E0-PSG.edf,sc,psg
SC4242EA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4242EA-Hypnogram.edf,sc,hypnogram
SC4251E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4251E0-PSG.edf,sc,psg
SC4251EP-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4251EP-Hypnogram.edf,sc,hypnogram
SC4252E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4252E0-PSG.edf,sc,psg
SC4252EU-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4252EU-Hypnogram.edf,sc,hypnogram
SC4261F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4261F0-PSG.edf,sc,psg
SC4261FM-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4261FM-Hypnogram.edf,sc,hypnogram
SC4262F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4262F0-PSG.edf,sc,psg
SC4262FC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4262FC-Hypnogram.edf,sc,hypnogram
SC4271F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4271F0-PSG.edf,sc,psg
SC4271FC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4271FC-Hypnogram.edf,sc,hypnogram
SC4272F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4272F0-PSG.edf,sc,psg
SC4272FM-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4272FM-Hypnogram.edf,sc,hypnogram
SC4281G0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4281G0-PSG.edf,sc,psg
SC4281GC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4281GC-Hypnogram.edf,sc,hypnogram
SC4282G0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4282G0-PSG.edf,sc,psg
SC4282GC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4282GC-Hypnogram.edf,sc,hypnogram
SC4291G0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4291G0-PSG.edf,sc,psg
SC4291GA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4291GA-Hypnogram.edf,sc,hypnogram
SC4292G0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4292G0-PSG.edf,sc,psg
SC4292GC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4292GC-Hypnogram.edf,sc,hypnogram
SC4301E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4301E0-PSG.edf,sc,psg
SC4301EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4301EC-Hypnogram.edf,sc,hypnogram
SC4302E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4302E0-PSG.edf,sc,psg
SC4302EV-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4302EV-Hypnogram.edf,sc,hypnogram
SC4311E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4311E0-PSG.edf,sc,psg
SC4311EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4311EC-Hypnogram.edf,sc,hypnogram
SC4312E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4312E0-PSG.edf,sc,psg
SC4312EM-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4312EM-Hypnogram.edf,sc,hypnogram
SC4321E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4321E0-PSG.edf,sc,psg
SC4321EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4321EC-Hypnogram.edf,sc,hypnogram
SC4322E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4322E0-PSG.edf,sc,psg
SC4322EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4322EC-Hypnogram.edf,sc,hypnogram
SC4331F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4331F0-PSG.edf,sc,psg
SC4331FV-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4331FV-Hypnogram.edf,sc,hypnogram
SC4332F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4332F0-PSG.edf,sc,psg
SC4332FC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4332FC-Hypnogram.edf,sc,hypnogram
SC4341F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4341F0-PSG.edf,sc,psg
SC4341FA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4341FA-Hypnogram.edf,sc,hypnogram
SC4342F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4342F0-PSG.edf,sc,psg
SC4342FA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4342FA-Hypnogram.edf,sc,hypnogram
SC4351F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4351F0-PSG.edf,sc,psg
SC4351FA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4351FA-Hypnogram.edf,sc,hypnogram
SC4352F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4352F0-PSG.edf,sc,psg
SC4352FV-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4352FV-Hypnogram.edf,sc,hypnogram
SC4362F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4362F0-PSG.edf,sc,psg
SC4362FC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4362FC-Hypnogram.edf,sc,hypnogram
SC4371F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4371F0-PSG.edf,sc,psg
SC4371FA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4371FA-Hypnogram.edf,sc,hypnogram
SC4372F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4372F0-PSG.edf,sc,psg
SC4372FC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4372FC-Hypnogram.edf,sc,hypnogram
SC4381F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4381F0-PSG.edf,sc,psg
SC4381FC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4381FC-Hypnogram.edf,sc,hypnogram
SC4382F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4382F0-PSG.edf,sc,psg
SC4382FW-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4382FW-Hypnogram.edf,sc,hypnogram
SC4401E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4401E0-PSG.edf,sc,psg
SC4401EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4401EC-Hypnogram.edf,sc,hypnogram
SC4402E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4402E0-PSG.edf,sc,psg
SC4402EW-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4402EW-Hypnogram.edf,sc,hypnogram
SC4411E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4411E0-PSG.edf,sc,psg
SC4411EJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4411EJ-Hypnogram.edf,sc,hypnogram
SC4412E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4412E0-PSG.edf,sc,psg
SC4412EM-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4412EM-Hypnogram.edf,sc,hypnogram
SC4421E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4421E0-PSG.edf,sc,psg
SC4421EA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4421EA-Hypnogram.edf,sc,hypnogram
SC4422E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4422E0-PSG.edf,sc,psg
SC4422EA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4422EA-Hypnogram.edf,sc,hypnogram
SC4431E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4431E0-PSG.edf,sc,psg
SC4431EM-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4431EM-Hypnogram.edf,sc,hypnogram
SC4432E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4432E0-PSG.edf,sc,psg
SC4432EM-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4432EM-Hypnogram.edf,sc,hypnogram
SC4441E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4441E0-PSG.edf,sc,psg
SC4441EC-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4441EC-Hypnogram.edf,sc,hypnogram
SC4442E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4442E0-PSG.edf,sc,psg
SC4442EV-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4442EV-Hypnogram.edf,sc,hypnogram
SC4451F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4451F0-PSG.edf,sc,psg
SC4451FY-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4451FY-Hypnogram.edf,sc,hypnogram
SC4452F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4452F0-PSG.edf,sc,psg
SC4452FW-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4452FW-Hypnogram.edf,sc,hypnogram
SC4461F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4461F0-PSG.edf,sc,psg
SC4461FA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4461FA-Hypnogram.edf,sc,hypnogram
SC4462F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4462F0-PSG.edf,sc,psg
SC4462FJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4462FJ-Hypnogram.edf,sc,hypnogram
SC4471F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4471F0-PSG.edf,sc,psg
SC4471FA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4471FA-Hypnogram.edf,sc,hypnogram
SC4472F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4472F0-PSG.edf,sc,psg
SC4472FA-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4472FA-Hypnogram.edf,sc,hypnogram
SC4481F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4481F0-PSG.edf,sc,psg
SC4481FV-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4481FV-Hypnogram.edf,sc,hypnogram
SC4482F0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4482F0-PSG.edf,sc,psg
SC4482FJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4482FJ-Hypnogram.edf,sc,hypnogram
SC4491G0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4491G0-PSG.edf,sc,psg
SC4491GJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4491GJ-Hypnogram.edf,sc,hypnogram
SC4492G0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4492G0-PSG.edf,sc,psg
SC4492GJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4492GJ-Hypnogram.edf,sc,hypnogram
SC4501E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4501E0-PSG.edf,sc,psg
SC4501EW-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4501EW-Hypnogram.edf,sc,hypnogram
SC4502E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4502E0-PSG.edf,sc,psg
SC4502EM-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4502EM-Hypnogram.edf,sc,hypnogram
SC4511E0-PSG.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4511E0-PSG.edf,sc,psg
SC4511EJ-Hypnogram.edf,https://physionet.org/content/sleep-edfx/1.0.0/sleep-cassette/SC4511EJ-Hypnogram.edf,sc,hypnogram
